code,name,raw
7891150064331,"LAVA ROUPAS PÓ LAVAGEM PERFEITA OMO CAIXA 1,6KG","7891150064331 - LAVA ROUPAS PÓ LAVAGEM PERFEITA OMO CAIXA 1,6KG"
7891150064928,LAVA ROUPAS LÍQUIDO OMO LAVAGEM PERFEITA SACHÊ 900ML REFIL,7891150064928 - LAVA ROUPAS LÍQUIDO OMO LAVAGEM PERFEITA SACHÊ 900ML REFIL
7891150064935,LAVA ROUPAS LÍQUIDO OMO PURO CUIDADO SACHÊ 900ML REFIL ECONÔMICO,7891150064935 - LAVA ROUPAS LÍQUIDO OMO PURO CUIDADO SACHÊ 900ML REFIL ECONÔMICO
7891150066519,LAVA ROUPAS LÍQUIDO ROUPAS BRANCAS E COLORIDAS BRILHANTE LIMPEZA TOTAL SACHÊ 900ML REFIL ECONÔMICO,7891150066519 - LAVA ROUPAS LÍQUIDO ROUPAS BRANCAS E COLORIDAS BRILHANTE LIMPEZA TOTAL SACHÊ 900ML REFIL ECONÔMICO
7891150069121,"LAVA ROUPAS PÓ OMO LAVAGEM PERFEITA CAIXA 2,2KG TAMANHO FAMÍLIA","7891150069121 - LAVA ROUPAS PÓ OMO LAVAGEM PERFEITA CAIXA 2,2KG TAMANHO FAMÍLIA"
7891150079892,MAIONESE VERDE HELLMANNS SQUEEZE 335G,7891150079892 - MAIONESE VERDE HELLMANNS SQUEEZE 335G
7891150080546,MAIONESE HELLMANNS SUPREME SQUEEZE 330G,7891150080546 - MAIONESE HELLMANNS SUPREME SQUEEZE 330G
7891150086531,"LAVA ROUPAS PÓ ROUPAS BRANCAS E COLORIDAS BRILHANTE LIMPEZA TOTAL CAIXA 2,2KG TAMANHO FAMÍLIA","7891150086531 - LAVA ROUPAS PÓ ROUPAS BRANCAS E COLORIDAS BRILHANTE LIMPEZA TOTAL CAIXA 2,2KG TAMANHO FAMÍLIA"
7891156001040,LEITE FERMENTADO DESNATADO YAKULT PACOTE COM 6 UNIDADES 480G,7891156001040 - LEITE FERMENTADO DESNATADO YAKULT PACOTE COM 6 UNIDADES 480G
7891167011731,ATUM SÓLIDO EM ÓLEO GOMES DA COSTA LATA 120G,7891167011731 - ATUM SÓLIDO EM ÓLEO GOMES DA COSTA LATA 120G
7891167011748,ATUM RALADO EM ÓLEO GOMES DA COSTA LATA PESO LIQ 170G PESO DREN 130G,7891167011748 - ATUM RALADO EM ÓLEO GOMES DA COSTA LATA PESO LIQ 170G PESO DREN 130G
7891167011755,ATUM SOLIDO AO NATURAL GOMES DA COSTA EM LATA DE 120G,7891167011755 - ATUM SOLIDO AO NATURAL GOMES DA COSTA EM LATA DE 120G
7891167011779,ATUM RALADO AO NATURAL COM CALDO VEGETAL GOMES DA COSTA LATA 130G,7891167011779 - ATUM RALADO AO NATURAL COM CALDO VEGETAL GOMES DA COSTA LATA 130G
7891167021013,SARDINHA COM ÓLEO GOMES DA COSTA LATA 84G DRENADO 125G LÍQ,7891167021013 - SARDINHA COM ÓLEO GOMES DA COSTA LATA 84G DRENADO 125G LÍQ
7891167021020,SARDINHA COM MOLHO DE TOMATE GOMES DA COSTA LATA 84G,7891167021020 - SARDINHA COM MOLHO DE TOMATE GOMES DA COSTA LATA 84G
7891172421174,PAPEL HIGIENICO NEUTRO FOLHA DUPLA NEVE COM 30 METROS EM PACOTE COM 4 UNIDADES,7891172421174 - PAPEL HIGIENICO NEUTRO FOLHA DUPLA NEVE COM 30 METROS EM PACOTE COM 4 UNIDADES
7891193010074,PÃO DE FORMA SEVEN BOYS PACOTE 450G,7891193010074 - PÃO DE FORMA SEVEN BOYS PACOTE 450G
7891203010056,PÃO DE FORMA PANCO PREMIUM PACOTE 500G,7891203010056 - PÃO DE FORMA PANCO PREMIUM PACOTE 500G
7891203010605,PÃO BISNAGUINHA PANCO ORIGINAIS PACOTE 300G,7891203010605 - PÃO BISNAGUINHA PANCO ORIGINAIS PACOTE 300G
7891515434311,MORTADELA OURO PERDIGAO FATIADA 200G,7891515434311 - MORTADELA OURO PERDIGAO FATIADA 200G
7891515474126,STEAK PERDIGAO EMPANADO DE FRANGO 100G,7891515474126 - STEAK PERDIGAO EMPANADO DE FRANGO 100G
7891515475680,LASANHA QUATRO QUEIJOS SADIA PACOTE 600G,7891515475680 - LASANHA QUATRO QUEIJOS SADIA PACOTE 600G
7891515475703,LASANHA BOLONHESA SADIA PACOTE 600G,7891515475703 - LASANHA BOLONHESA SADIA PACOTE 600G
7891515496357,LASANHA PERDIGAO 600G BOLONHESA,7891515496357 - LASANHA PERDIGAO 600G BOLONHESA
7891515742034,SALSICHA HOT DOG PERDIGÃO 500G 12 UNIDADES,7891515742034 - SALSICHA HOT DOG PERDIGÃO 500G 12 UNIDADES
7891515901059,MARGARINA CLAYBOM CREMOSA C SAL 500G,7891515901059 - MARGARINA CLAYBOM CREMOSA C SAL 500G
7891515977511,LINGUIÇA CALABRESA DEFUMADA PERDIGÃO 400G,7891515977511 - LINGUIÇA CALABRESA DEFUMADA PERDIGÃO 400G
7891528029498,CREME DENTAL SORRISO TRIPLA LIMPEZA COMPLETA CAIXA 70G,7891528029498 - CREME DENTAL SORRISO TRIPLA LIMPEZA COMPLETA CAIXA 70G
7891910000197,AÇÚCAR REFINADO ESPECIAL UNIAO EM PACOTE DE 1KG,7891910000197 - AÇÚCAR REFINADO ESPECIAL UNIAO EM PACOTE DE 1KG
7891962015620,BOLINHO BAUDUCCO BAUN MORANGO PCT 40G,7891962015620 - BOLINHO BAUDUCCO BAUN MORANGO PCT 40G
7891962027388,PANETTONE BAUDUCCO FRUTAS 400G,7891962027388 - PANETTONE BAUDUCCO FRUTAS 400G
7891962031170,BOLINHO DUPLO CHOCOLATE BAUDUCCO PACOTE 40G,7891962031170 - BOLINHO DUPLO CHOCOLATE BAUDUCCO PACOTE 40G
7891962036984,BISCOITO TIPO WAFER COM RECHEIO DE CHOCOLATE BAUDUCCO EM PACOTE DE 140G,7891962036984 - BISCOITO TIPO WAFER COM RECHEIO DE CHOCOLATE BAUDUCCO EM PACOTE DE 140G
7891962036991,BISCOITO WAFER BAUDUCCO CHOCOLATE COM AVELA 140G,7891962036991 - BISCOITO WAFER BAUDUCCO CHOCOLATE COM AVELA 140G
